pair_type,uid_a,uid_b,channel_a,channel_b,n_a,n_b,coincidence,ratio_over_chance,distance_um,contacts_apart,refractory_a,refractory_b,refractory_merged,merged_refractory_ok
sorted-unsorted,C-029 / Unit 3,C-014 / unsorted,C-029,C-014,188,18022,0.0106,1.33,195.0,3,0.1604,0.0001,0.0006,True
unsorted-unsorted,C-020 / unsorted,C-013 / unsorted,C-020,C-013,4587,2942,0.0105,4.9,845.0,13,0.0011,0.0,0.0053,True
unsorted-unsorted,C-020 / unsorted,C-022 / unsorted,C-020,C-022,4587,2260,0.0097,4.53,130.0,2,0.0011,0.0,0.0056,True
unsorted-unsorted,C-022 / unsorted,C-007 / unsorted,C-022,C-007,2260,932,0.0097,9.11,585.0,9,0.0,0.0,0.0038,True
sorted-unsorted,C-025 / unsorted,C-011 / Unit 1,C-025,C-011,312,798,0.0096,27.09,455.0,7,0.0,0.0213,0.0,True
sorted-unsorted,C-025 / unsorted,C-029 / Unit 1,C-025,C-029,312,3892,0.0096,5.56,1300.0,20,0.0,0.0231,0.0027,True
unsorted-unsorted,C-022 / unsorted,C-013 / unsorted,C-022,C-013,2260,2942,0.0093,6.74,715.0,11,0.0,0.0,0.0041,True
sorted-unsorted,C-020 / unsorted,C-011 / Unit 1,C-020,C-011,4587,798,0.0088,4.3,65.0,1,0.0011,0.0213,0.0022,True
sorted-unsorted,C-020 / unsorted,C-029 / Unit 1,C-020,C-029,4587,3892,0.0075,3.65,910.0,14,0.0011,0.0231,0.0065,True
unsorted-unsorted,C-006 / unsorted,C-018 / unsorted,C-006,C-018,465,139,0.0072,32.99,1105.0,17,0.0,0.0,0.0,True
unsorted-unsorted,C-012 / unsorted,C-002 / unsorted,C-012,C-002,297,1203,0.0067,11.93,520.0,8,0.0,0.0,0.0007,True
unsorted-unsorted,C-020 / unsorted,C-002 / unsorted,C-020,C-002,4587,1203,0.0067,3.09,975.0,15,0.0011,0.0,0.0035,True
sorted-unsorted,C-006 / unsorted,C-011 / Unit 1,C-006,C-011,465,798,0.0065,18.18,390.0,6,0.0,0.0213,0.0016,True
unsorted-unsorted,C-004 / unsorted,C-002 / unsorted,C-004,C-002,323,1203,0.0062,10.98,650.0,10,0.0,0.0,0.0007,True
unsorted-unsorted,C-013 / unsorted,C-002 / unsorted,C-013,C-002,2942,1203,0.0058,4.22,130.0,2,0.0,0.0,0.0036,True
sorted-unsorted,C-020 / unsorted,C-029 / Unit 2,C-020,C-029,4587,753,0.0053,2.6,910.0,14,0.0011,0.0213,0.0028,True
sorted-unsorted,C-013 / unsorted,C-029 / Unit 2,C-013,C-029,2942,753,0.0053,4.06,65.0,1,0.0,0.0213,0.0016,True
unsorted-unsorted,C-024 / unsorted,C-002 / unsorted,C-024,C-002,590,1203,0.0051,9.01,325.0,5,0.0,0.0,0.0006,True
unsorted-unsorted,C-006 / unsorted,C-002 / unsorted,C-006,C-002,465,1203,0.0043,7.62,1300.0,20,0.0,0.0,0.0006,True
sorted-unsorted,C-019 / unsorted,C-029 / Unit 2,C-019,C-029,1008,753,0.004,8.88,520.0,8,0.0,0.0213,0.0023,True
sorted-unsorted,C-022 / unsorted,C-029 / Unit 1,C-022,C-029,2260,3892,0.004,2.3,780.0,12,0.0,0.0231,0.005,True
unsorted-unsorted,C-019 / unsorted,C-002 / unsorted,C-019,C-002,1008,1203,0.004,7.03,585.0,9,0.0,0.0,0.0018,True
unsorted-unsorted,C-005 / unsorted,C-002 / unsorted,C-005,C-002,774,1203,0.0039,6.87,1040.0,16,0.0,0.0,0.001,True
sorted-unsorted,C-011 / Unit 1,C-013 / unsorted,C-011,C-013,798,2942,0.0038,2.87,780.0,12,0.0213,0.0,0.0019,True
sorted-sorted,C-011 / Unit 1,C-029 / Unit 1,C-011,C-029,798,3892,0.0038,2.17,845.0,13,0.0213,0.0231,0.0031,True
sorted-unsorted,C-011 / Unit 1,C-012 / unsorted,C-011,C-012,798,297,0.0034,9.49,390.0,6,0.0213,0.0,0.0009,True
sorted-unsorted,C-012 / unsorted,C-029 / Unit 2,C-012,C-029,297,753,0.0034,10.05,455.0,7,0.0,0.0213,0.0019,True
unsorted-unsorted,C-025 / unsorted,C-002 / unsorted,C-025,C-002,312,1203,0.0032,5.68,1365.0,21,0.0,0.0,0.0,True
sorted-sorted,C-011 / Unit 1,C-029 / Unit 2,C-011,C-029,798,753,0.0027,7.48,845.0,13,0.0213,0.0213,0.0,True
sorted-unsorted,C-022 / unsorted,C-029 / Unit 2,C-022,C-029,2260,753,0.0027,2.64,780.0,12,0.0,0.0213,0.0017,True
sorted-unsorted,C-011 / Unit 1,C-019 / unsorted,C-011,C-019,798,1008,0.0025,5.59,325.0,5,0.0213,0.0,0.0017,True
sorted-unsorted,C-011 / Unit 1,C-002 / unsorted,C-011,C-002,798,1203,0.0025,4.68,910.0,14,0.0213,0.0,0.0,True
unsorted-unsorted,C-022 / unsorted,C-002 / unsorted,C-022,C-002,2260,1203,0.0025,2.35,845.0,13,0.0,0.0,0.0012,True
